Mode Used: BANG_BANG_MENU
Parameters Used: {"baseSpeed":250,"turnSpeedMultiplier":0.25,"bangBangThreshold":0.65,"sensorPeriod":0.0001,"controlPeriod":0.0001,"motorRegulatePeriod":0.1,"motorKp":0.01,"motorKi":0.01,"debugFlag":1}


--- MOTOR_LEFT Debug Data ---
Timestamp, distance, speed, target_speed, error, adjustment, persistent_error, newSpeed, originalSpeed
"13400",26.07334,120.11719,125,4.88281,0.00076,0.15615,0.54759,0.38916
"13500",26.12431,125.39062,125,-0.39062,0.00001,0.15846,0.54765,0.38916
"13500",26.17983,125.39062,125,-0.39062,0.00001,0.15852,0.54771,0.38916
"13600",26.23367,134.17969,125,-9.17969,-0.00124,0.15607,0.54151,0.38916
"13600",26.27938,133.00781,125,-8.00781,-0.00108,0.1502,0.53613,0.38916
"13700",26.33035,111.91406,125,13.08594,0.00193,0.15083,0.54577,0.38916
"13700",26.37941,125.39062,125,-0.39062,0.00001,0.15663,0.54583,0.38916
"13800",26.43564,119.53125,125,5.46875,0.00085,0.15836,0.55006,0.38916
"13800",26.48781,136.52344,125,-11.52344,-0.00157,0.15775,0.54219,0.38916
"13900",26.53543,129.49219,125,-4.49219,-0.00058,0.15188,0.53932,0.38916
"13900",26.5864,116.01562,125,8.98438,0.00135,0.15285,0.54604,0.38916
"14000",26.63474,124.80469,125,0.19531,0.00009,0.15707,0.54652,0.38916
"14000",26.6917,118.35938,125,6.64062,0.00101,0.15938,0.55158,0.38916
"14100",26.74267,139.45312,125,-14.45312,-0.00199,0.15844,0.54163,0.38916
"14100",26.79196,125.39062,125,-0.39062,0.00001,0.15249,0.54168,0.38916
"14200",26.84222,120.11719,125,4.88281,0.00076,0.15404,0.54549,0.38916
"14200",26.89199,123.63281,125,1.36719,0.00026,0.15685,0.54679,0.38916
"14300",26.94918,121.28906,125,3.71094,0.0006,0.15883,0.54977,0.38916
"14300",26.99776,140.03906,125,-15.03906,-0.00208,0.15647,0.5394,0.38916
"14400",27.04802,119.53125,125,5.46875,0.00084,0.15193,0.54362,0.38916
"14400",27.09707,122.46094,125,2.53906,0.00043,0.15532,0.54576,0.38916
"14500",27.14852,120.70312,125,4.29688,0.00068,0.15796,0.54916,0.38916
"14500",27.2038,124.21875,125,0.78125,0.00018,0.16035,0.55005,0.38916
"14600",27.25238,136.52344,125,-11.52344,-0.00157,0.15775,0.54219,0.38916
"14600",27.28756,119.53125,0,-119.53125,-0.01699,0.09389,0.05709,0.12494
"14700",27.29498,89.64844,0,-89.64844,-0.01281,-0.0934,-0.00686,0.12494
"14700",27.2945,19.92188,0,-19.92188,-0.0029,-0.13758,-0.02132,0.12494
"14800",27.2945,-1.17188,0,1.17188,0.0001,-0.14604,-0.02079,0.12494
"14800",27.2945,0,0,0,-0.00006,-0.14585,-0.0211,0.12494
"14900",27.2945,0,0,0,-0.00006,-0.14617,-0.02141,0.12494
"14900",27.2945,0,0,0,-0.00006,-0.14648,-0.02173,0.12494
"15000",27.2945,0,0,0,-0.00006,-0.14679,-0.02204,0.12494
"15000",27.2945,0,0,0,-0.00006,-0.1471,-0.02235,0.12494
"15100",27.2945,0,0,0,-0.00006,-0.14742,-0.02267,0.12494
"15100",27.2945,0,0,0,-0.00006,-0.14773,-0.02298,0.12494
"15200",27.2945,0,0,0,-0.00006,-0.14805,-0.0233,0.12494
"15200",27.2945,0,0,0,-0.00006,-0.14837,-0.02362,0.12494
"15300",27.2945,0,0,0,-0.00006,-0.14868,-0.02393,0.12494
"15300",27.2945,0,0,0,-0.00006,-0.149,-0.02425,0.12494
"15400",27.2945,0,0,0,-0.00006,-0.14932,-0.02457,0.12494
"15400",27.2945,0,0,0,-0.00006,-0.14964,-0.02489,0.12494
"15500",27.2945,0,0,0,-0.00006,-0.14996,-0.02521,0.12494
"15500",27.2945,0,0,0,-0.00006,-0.15028,-0.02553,0.12494
"15600",27.2945,0,0,0,-0.00006,-0.1506,-0.02585,0.12494
"15600",27.2945,0,0,0,-0.00006,-0.15092,-0.02618,0.12494
"15700",27.2945,0,0,0,-0.00006,-0.15124,-0.0265,0.12494
"15700",27.2945,0,0,0,-0.00006,-0.15157,-0.02682,0.12494
"15800",27.2945,0,0,0,-0.00006,-0.15189,-0.02715,0.12494
